name,description,ratings,seller,users,industries,link,category
Airtable,,4.6, Airtable,"['Owner', 'Project Manager', 'Owner', 'Project Manager']","['Non-Profit Organization Management', 'Marketing and Advertising', 'Non-Profit Organization Management', 'Marketing and Advertising']",https://www.g2.com/products/airtable/reviews,project-management
Wrike,,4.2," Wrike, Inc.","['Project Manager', 'Marketing Manager', 'Project Manager', 'Marketing Manager']","['Marketing and Advertising', 'Information Technology and Services', 'Marketing and Advertising', 'Information Technology and Services']",https://www.g2.com/products/wrike/reviews,project-management
Backlog,,4.6, Nulab Inc.,"['Software Engineer', 'Software Developer', 'Software Engineer', 'Software Developer']","['Information Technology and Services', 'Computer Software', 'Information Technology and Services', 'Computer Software']",https://www.g2.com/products/backlog/reviews,project-management
Zoho Projects,,4.3, Zoho,"['Project Manager', 'CEO', 'Project Manager', 'CEO']","['Information Technology and Services', 'Computer Software', 'Information Technology and Services', 'Computer Software']",https://www.g2.com/products/zoho-projects/reviews,project-management
Time Champ,,4.8, Snovasys Software Solutiions,"['Digital Marketing Executive', 'Digital Marketing Executive']","['Computer Software', 'Information Technology and Services', 'Computer Software', 'Information Technology and Services']",https://www.g2.com/products/time-champ/reviews,project-management
Hive,,4.6, Hive,"['Project Manager', 'Graphic Designer', 'Project Manager', 'Graphic Designer']","['Marketing and Advertising', 'Information Technology and Services', 'Marketing and Advertising', 'Information Technology and Services']",https://www.g2.com/products/hive-hive-hive/reviews,project-management
Scoro,,4.5, Scoro,"['Project Manager', 'Director', 'Project Manager', 'Director']","['Marketing and Advertising', 'Information Technology and Services', 'Marketing and Advertising', 'Information Technology and Services']",https://www.g2.com/products/scoro/reviews,project-management
Conceptboard,,4.6, Conceptboard,,"['Computer Software', 'Management Consulting', 'Computer Software', 'Management Consulting']",https://www.g2.com/products/conceptboard/reviews,project-management
Freedcamp,,4.5, Freedcamp,,"['Marketing and Advertising', 'Non-Profit Organization Management', 'Marketing and Advertising', 'Non-Profit Organization Management']",https://www.g2.com/products/freedcamp/reviews,project-management
Quickbase,,4.4, Quickbase,"['Project Manager', 'Project Coordinator', 'Project Manager', 'Project Coordinator']","['Construction', 'Information Technology and Services', 'Construction', 'Information Technology and Services']",https://www.g2.com/products/quickbase/reviews,project-management
RoboHead,,4.3, Aquent,,"['Marketing and Advertising', 'Financial Services', 'Marketing and Advertising', 'Financial Services']",https://www.g2.com/products/robohead/reviews,project-management
Worksection,,4.8, Worksection,,"['Marketing and Advertising', 'Civic & Social Organization', 'Marketing and Advertising', 'Civic & Social Organization']",https://www.g2.com/products/worksection/reviews,project-management
Aha!,,4.4, Aha! Labs,"['Product Manager', 'Product Owner', 'Product Manager', 'Product Owner']","['Computer Software', 'Information Technology and Services', 'Computer Software', 'Information Technology and Services']",https://www.g2.com/products/aha/reviews,project-management
actiTIME,,4.6, actiTIME,"['Agente de ventas', 'Agente de ventas']","['Information Technology and Services', 'Financial Services', 'Information Technology and Services', 'Financial Services']",https://www.g2.com/products/actitime/reviews,project-management
BigTime,,4.5, BigTime,"['Office Manager', 'President', 'Office Manager', 'President']","['Accounting', 'Architecture & Planning', 'Accounting', 'Architecture & Planning']",https://www.g2.com/products/bigtime/reviews,project-management
GanttPRO,,4.8, GanttPRO,"['Student', 'Project Manager', 'Student', 'Project Manager']","['Higher Education', 'Computer Software', 'Higher Education', 'Computer Software']",https://www.g2.com/products/ganttpro-ganttpro/reviews,project-management
ONLYOFFICE Workspace,,4.4, Ascensio System,,"['Computer Software', 'Higher Education', 'Computer Software', 'Higher Education']",https://www.g2.com/products/onlyoffice-workspace/reviews,project-management
Workfront,,4.1, Adobe,"['Project Manager', 'Senior Project Manager', 'Project Manager', 'Senior Project Manager']","['Marketing and Advertising', 'Information Technology and Services', 'Marketing and Advertising', 'Information Technology and Services']",https://www.g2.com/products/workfront/reviews,project-management
Mural,,4.6, Mural,"['UX Designer', 'Product Manager', 'UX Designer', 'Product Manager']","['Information Technology and Services', 'Management Consulting', 'Information Technology and Services', 'Management Consulting']",https://www.g2.com/products/mural/reviews,project-management
Lytho,,4.3, Lytho,"['Graphic Designer', 'Senior Graphic Designer', 'Graphic Designer', 'Senior Graphic Designer']","['Marketing and Advertising', 'Higher Education', 'Marketing and Advertising', 'Higher Education']",https://www.g2.com/products/lytho-lytho/reviews,project-management
Whimsical,,4.6, Whimsical,"['Product Manager', 'CEO', 'Product Manager', 'CEO']","['Computer Software', 'Information Technology and Services', 'Computer Software', 'Information Technology and Services']",https://www.g2.com/products/whimsical/reviews,project-management
GUIDEcx,,4.6, GuideCX,"['Project Manager', 'Implementation Manager', 'Project Manager', 'Implementation Manager']","['Computer Software', 'Information Technology and Services', 'Computer Software', 'Information Technology and Services']",https://www.g2.com/products/guidecx/reviews,project-management
TeamGantt,,4.8, TeamGantt,"['Project Manager', 'Director', 'Project Manager', 'Director']","['Computer Software', 'Information Technology and Services', 'Computer Software', 'Information Technology and Services']",https://www.g2.com/products/teamgantt/reviews,project-management
WorkflowMAX,,4.1, WorkflowMAX,"['Director', 'Director']","['Marketing and Advertising', 'Accounting', 'Marketing and Advertising', 'Accounting']",https://www.g2.com/products/workflowmax/reviews,project-management
Freelo,,4.7, FreeloCZ,"['Project manager', 'CEO', 'Project manager', 'CEO']","['Non-Profit Organization Management', 'Civic & Social Organization', 'Non-Profit Organization Management', 'Civic & Social Organization']",https://www.g2.com/products/freelo/reviews,project-management
Swit,,4.7, Swit,"['CEO', 'Deputy General Manager', 'CEO', 'Deputy General Manager']","['Airlines/Aviation', 'Computer Software', 'Airlines/Aviation', 'Computer Software']",https://www.g2.com/products/swit/reviews,project-management
Ravetree,,4.2, Ravetree,,"['Marketing and Advertising', 'Marketing and Advertising']",https://www.g2.com/products/ravetree/reviews,project-management
awork,,4.3, awork,,,https://www.g2.com/products/awork/reviews,project-management
Kytes,,4.4, Kytes,,"['Information Technology and Services', 'Automotive', 'Information Technology and Services', 'Automotive']",https://www.g2.com/products/kytes/reviews,project-management
Breeze,,4.1, Breeze,,"['Marketing and Advertising', 'Marketing and Advertising']",https://www.g2.com/products/breeze-llc-breeze/reviews,project-management
GoodDay Work,,4.3, GoodDay Work,,"['Internet', 'Computer Software', 'Internet', 'Computer Software']",https://www.g2.com/products/goodday-work/reviews,project-management
OneSuite,,4.8, OneSuite,,,https://www.g2.com/products/onesuite/reviews,project-management
Nozbe,,4.6, Nozbe,,,https://www.g2.com/products/nozbe/reviews,project-management
Moovila,,4.8, Moovila,"['Project Manager', 'Project Manager']","['Information Technology and Services', 'Computer & Network Security', 'Information Technology and Services', 'Computer & Network Security']",https://www.g2.com/products/moovila/reviews,project-management
Astravue,,5.0, Astravue,,,https://www.g2.com/products/astravue/reviews,project-management
Microsoft Project Server,,4.1, Microsoft,"['Project Manager', 'Project Manager']","['Information Technology and Services', 'Computer Software', 'Information Technology and Services', 'Computer Software']",https://www.g2.com/products/microsoft-project-server/reviews,project-management
TimeHero,,4.5, TimeHero,,"['Marketing and Advertising', 'Marketing and Advertising']",https://www.g2.com/products/timehero/reviews,project-management
SpiraPlan,,4.6, Inflectra,,"['Information Technology and Services', 'Computer Software', 'Information Technology and Services', 'Computer Software']",https://www.g2.com/products/spiraplan/reviews,project-management
Projectworks,,4.5, Projectworks,"['Director', 'Project Manager', 'Director', 'Project Manager']","['Information Technology and Services', 'Consulting', 'Information Technology and Services', 'Consulting']",https://www.g2.com/products/projectworks/reviews,project-management
Kantata Professional Services Automation (formerly Mavenlink+ Kimble),,4.2, Kantata (formerly Mavenlink + Kimble),"['Project Manager', 'Consultant', 'Project Manager', 'Consultant']","['Information Technology and Services', 'Computer Software', 'Information Technology and Services', 'Computer Software']",https://www.g2.com/products/kantata-professional-services-automation-formerly-mavenlink-kimble/reviews,project-management
MeisterTask,,4.6, MeisterLabs,"['Owner', 'Owner']","['Marketing and Advertising', 'Computer Software', 'Marketing and Advertising', 'Computer Software']",https://www.g2.com/products/meistertask/reviews,project-management
ITM Platform,,4.8, ITM Platform,,,https://www.g2.com/products/itm-platform/reviews,project-management
Prism PPM (formerly WorkOtter),,4.8, Prism PPM (formerly WorkOtter),,"['Information Technology and Services', 'Information Technology and Services']",https://www.g2.com/products/prism-ppm-formerly-workotter/reviews,project-management
Ahsuite,,4.8, Ahsuite Inc,"['Owner', 'CEO', 'Owner', 'CEO']","['Marketing and Advertising', 'Consulting', 'Marketing and Advertising', 'Consulting']",https://www.g2.com/products/ahsuite/reviews,project-management
Mysaasplace,,4.1, MySaaSPlace,,,https://www.g2.com/products/mysaasplace/reviews,project-management
Acclaim Projects,,4.9, Wellspring Worldwide,,,https://www.g2.com/products/acclaim-projects/reviews,project-management
Teamleader,,4.3, Teamleader,,"['Computer Software', 'Computer Software']",https://www.g2.com/products/teamleader/reviews,project-management
OpenProject,,3.8, OpenProject,,"['Information Technology and Services', 'Information Technology and Services']",https://www.g2.com/products/openproject/reviews,project-management
BQE CORE,,4.3," BQE Software, Inc.","['Office Manager', 'Architect', 'Office Manager', 'Architect']","['Architecture & Planning', 'Civil Engineering', 'Architecture & Planning', 'Civil Engineering']",https://www.g2.com/products/core-bqe-software-inc/reviews,project-management
IBM Targetprocess,,4.3," Apptio, an IBM Company","['Software Developer', 'Software Developer']","['Computer Software', 'Information Technology and Services', 'Computer Software', 'Information Technology and Services']",https://www.g2.com/products/ibm-targetprocess/reviews,project-management
OneDeck,,5.0, OneDeck Ltd,,"['Facilities Services', 'Facilities Services']",https://www.g2.com/products/onedeck/reviews,project-management
Primetric,,4.9, Primetric,,"['Computer Software', 'Information Technology and Services', 'Computer Software', 'Information Technology and Services']",https://www.g2.com/products/primetric/reviews,project-management
OnePlan,,4.4, OnePlan Solutions,,,https://www.g2.com/products/oneplan-solutions-oneplan/reviews,project-management
Taiga,,4.4, Taiga Agile,,"['Information Technology and Services', 'Computer Software', 'Information Technology and Services', 'Computer Software']",https://www.g2.com/products/taiga-agile-llc-taiga/reviews,project-management
Plane,,4.5," Plane Software, Inc.",,,https://www.g2.com/products/plane-so/reviews,project-management
Zenkit,,4.7, Axonic Informationssysteme GmbH,,"['Marketing and Advertising', 'Information Technology and Services', 'Marketing and Advertising', 'Information Technology and Services']",https://www.g2.com/products/zenkit/reviews,project-management
Favro,,4.3, Favro AB,"['Producer', 'Producer']","['Computer Games', 'Computer Software', 'Computer Games', 'Computer Software']",https://www.g2.com/products/favro/reviews,project-management
TrackingTime PRO,,4.4, TrackingTime,,"['Marketing and Advertising', 'Computer Software', 'Marketing and Advertising', 'Computer Software']",https://www.g2.com/products/trackingtime-pro/reviews,project-management
SmartCore,,4.3, Ninthwave,,,https://www.g2.com/products/smartcore/reviews,project-management
Orangescrum,,4.5, Andolasoft,,"['Computer Software', 'Computer Software']",https://www.g2.com/products/orangescrum/reviews,project-management
Synergy,,4.5, Total Synergy,,"['Civil Engineering', 'Architecture & Planning', 'Civil Engineering', 'Architecture & Planning']",https://www.g2.com/products/synergy-aec/reviews,project-management
Allfred,,4.7, Allfred,"['Account Manager', 'Account Manager']","['Marketing and Advertising', 'Marketing and Advertising']",https://www.g2.com/products/allfred/reviews,project-management
Swatle,,4.9, Swatle,,"['Marketing and Advertising', 'Marketing and Advertising']",https://www.g2.com/products/swatle/reviews,project-management
Progress Podio,,4.2, Progress Software,"['Owner', 'Project Manager', 'Owner', 'Project Manager']","['Real Estate', 'Information Technology and Services', 'Real Estate', 'Information Technology and Services']",https://www.g2.com/products/progress-podio/reviews,project-management
COR,,4.4, COR,,"['Marketing and Advertising', 'Public Relations and Communications', 'Marketing and Advertising', 'Public Relations and Communications']",https://www.g2.com/products/cor/reviews,project-management
ONES.com,,4.5, The Beautiful ONES Technology PTE. LTD.,,"['Marketing and Advertising', 'Marketing and Advertising']",https://www.g2.com/products/ones-com/reviews,project-management
Beesbusy,,4.6, Beesbusy,,,https://www.g2.com/products/beesbusy/reviews,project-management
OneDesk,,4.2, OneDesk,,"['Information Technology and Services', 'Information Technology and Services']",https://www.g2.com/products/onedesk-onedesk/reviews,project-management
Fluid,,4.7, Fluid,,"['Information Technology and Services', 'Financial Services', 'Information Technology and Services', 'Financial Services']",https://www.g2.com/products/fluid-fluid/reviews,project-management
Resource Management by Smartsheet,,4.0, Smartsheet,"['Project Manager', 'Project Manager']","['Design', 'Marketing and Advertising', 'Design', 'Marketing and Advertising']",https://www.g2.com/products/resource-management-by-smartsheet/reviews,project-management
Redbooth,,4.4, Redbooth,,"['Information Technology and Services', 'Marketing and Advertising', 'Information Technology and Services', 'Marketing and Advertising']",https://www.g2.com/products/redbooth/reviews,project-management
Bitrix24,,4.1, Bitrix24,"['Marketing Manager', 'Project Manager', 'Marketing Manager', 'Project Manager']","['Information Technology and Services', 'Marketing and Advertising', 'Information Technology and Services', 'Marketing and Advertising']",https://www.g2.com/products/bitrix24/reviews,project-management
5:00 PM,,4.3, Disarea,,,https://www.g2.com/products/5-00-pm/reviews,project-management
Flow,,4.3, Flow,,"['Marketing and Advertising', 'Computer Software', 'Marketing and Advertising', 'Computer Software']",https://www.g2.com/products/flow-flow/reviews,project-management
Stackby,,4.6, Relytree Inc.,"['CEO', 'CEO']","['Marketing and Advertising', 'Management Consulting', 'Marketing and Advertising', 'Management Consulting']",https://www.g2.com/products/stackby/reviews,project-management
APQP/PPAP Manager,,4.4, Omnex Systems,,"['Automotive', 'Automotive']",https://www.g2.com/products/apqp-ppap-manager/reviews,project-management
Demand Metric,,4.2, Demand Metric,,,https://www.g2.com/products/demand-metric/reviews,project-management
Matilda Workspace,,4.7, Matilda Workspace,,,https://www.g2.com/products/matilda-workspace/reviews,project-management
Synergist,,4.6, Synergist,,"['Marketing and Advertising', 'Marketing and Advertising']",https://www.g2.com/products/synergist/reviews,project-management
ftrack,,4.7, Backlight,,"['Animation', 'Animation']",https://www.g2.com/products/ftrack/reviews,project-management
SAP PPM,,4.2, SAP,,,https://www.g2.com/products/sap-ppm/reviews,project-management
FunctionFox,,4.3, FunctionFox,,"['Marketing and Advertising', 'Graphic Design', 'Marketing and Advertising', 'Graphic Design']",https://www.g2.com/products/functionfox/reviews,project-management
Squish,,4.1, IMS,,,https://www.g2.com/products/squish/reviews,project-management
PSOHUB.,,4.2, PSOHUB.,,"['Marketing and Advertising', 'Consulting', 'Marketing and Advertising', 'Consulting']",https://www.g2.com/products/psohub/reviews,project-management
Nifty,,4.7," Nifty Technologies, Inc.","['Owner', 'CEO', 'Owner', 'CEO']","['Marketing and Advertising', 'Information Technology and Services', 'Marketing and Advertising', 'Information Technology and Services']",https://www.g2.com/products/nifty-technologies-inc-nifty/reviews,project-management
ConceptDraw PROJECT,,4.3, CS Odessa,,,https://www.g2.com/products/conceptdraw-project/reviews,project-management
YouTrack,,4.3, JetBrains,,"['Computer Software', 'Information Technology and Services', 'Computer Software', 'Information Technology and Services']",https://www.g2.com/products/youtrack/reviews,project-management
Forecast,,4.2, Forecast,,"['Marketing and Advertising', 'Computer Software', 'Marketing and Advertising', 'Computer Software']",https://www.g2.com/products/forecast-forecast/reviews,project-management
Accelo,,4.4, Accelo,"['Project Manager', 'Owner', 'Project Manager', 'Owner']","['Marketing and Advertising', 'Information Technology and Services', 'Marketing and Advertising', 'Information Technology and Services']",https://www.g2.com/products/accelo/reviews,project-management
Paymo,,4.6, Paymo,"['Owner', 'CEO', 'Owner', 'CEO']","['Marketing and Advertising', 'Information Technology and Services', 'Marketing and Advertising', 'Information Technology and Services']",https://www.g2.com/products/paymo/reviews,project-management
Deltek WorkBook,,3.8, Deltek,,"['Marketing and Advertising', 'Information Technology and Services', 'Marketing and Advertising', 'Information Technology and Services']",https://www.g2.com/products/deltek-workbook/reviews,project-management
Clarity,,3.7, Broadcom,,"['Information Technology and Services', 'Hospital & Health Care', 'Information Technology and Services', 'Hospital & Health Care']",https://www.g2.com/products/broadcom-clarity/reviews,project-management
Planview PPM Pro,,3.8, Planview,,,https://www.g2.com/products/planview-ppm-pro/reviews,project-management
Upland Eclipse PPM,,4.4, Upland Software,,,https://www.g2.com/products/upland-eclipse-ppm/reviews,project-management
RationalPlan,,4.6, Stand By Soft,,,https://www.g2.com/products/rationalplan/reviews,project-management
OmniPlan,,4.5, The Omni Group,,,https://www.g2.com/products/omniplan/reviews,project-management
Planview ProjectPlace,,4.1, Planview,,,https://www.g2.com/products/planview-projectplace/reviews,project-management
Azor,,4.5, Kempen Automatisering,,,https://www.g2.com/products/azor/reviews,project-management
Oracle Project Resource Management Cloud,,3.5, Oracle,,,https://www.g2.com/products/oracle-project-resource-management-cloud/reviews,project-management
Tability,,4.6, Tability,"['CEO', 'CEO']","['Computer Software', 'Information Technology and Services', 'Computer Software', 'Information Technology and Services']",https://www.g2.com/products/tability/reviews,project-management
OpenText Project and Portfolio Management (PPM),,4.0, OpenText,,"['Information Technology and Services', 'Information Technology and Services']",https://www.g2.com/products/opentext-project-and-portfolio-management-ppm/reviews,project-management
Mission Control,,4.4, Aprika Business Solutions,"['Managing Director', 'Salesforce Consultant', 'Managing Director', 'Salesforce Consultant']","['Computer Software', 'Information Technology and Services', 'Computer Software', 'Information Technology and Services']",https://www.g2.com/products/mission-control/reviews,project-management
Rukovoditel,,4.7, rukovoditel.net,,,https://www.g2.com/products/rukovoditel/reviews,project-management
Monograph,,4.6, Monograph,,"['Architecture & Planning', 'Architecture & Planning']",https://www.g2.com/products/monograph/reviews,project-management
WiseTeam,,4.4," UAB ""Integris""",,"['Information Technology and Services', 'Information Technology and Services']",https://www.g2.com/products/wiseteam/reviews,project-management
Oracle EBS Projects,,3.7, Oracle,,,https://www.g2.com/products/oracle-ebs-projects/reviews,project-management
Allegra,,4.7, Steinbeis Task Management Solutions,,,https://www.g2.com/products/allegra/reviews,project-management
Eralis Project,,4.4, Eralis,,,https://www.g2.com/products/eralis-project/reviews,project-management
Redmine,,4.0, Planio,"['Software Developer', 'Owner', 'Software Developer', 'Owner']","['Information Technology and Services', 'Computer Software', 'Information Technology and Services', 'Computer Software']",https://www.g2.com/products/redmine/reviews,project-management
Project Central,,4.6, Project Central,,"['Computer Software', 'Computer Software']",https://www.g2.com/products/project-central/reviews,project-management
Easynote,,4.6, Easynote,,,https://www.g2.com/products/easynote/reviews,project-management
Assign It To Me,,4.1, Assignittome,,,https://www.g2.com/products/assign-it-to-me/reviews,project-management
Oracle Project Management Cloud,,3.8, Oracle,,"['Information Technology and Services', 'Computer Software', 'Information Technology and Services', 'Computer Software']",https://www.g2.com/products/oracle-oracle-project-management-cloud/reviews,project-management
Bridge24,,4.2, Websystems,,,https://www.g2.com/products/bridge24/reviews,project-management
Ganttic,,4.0, Ganttic,,"['Information Technology and Services', 'Information Technology and Services']",https://www.g2.com/products/ganttic/reviews,project-management
PlanHammer,,4.5, PlanHammer,,,https://www.g2.com/products/planhammer/reviews,project-management
AceProject,,3.9, Websystems,,,https://www.g2.com/products/aceproject/reviews,project-management
Portfolio Manage,,4.2, Tempo,"['Project Manager', 'Project Manager']","['Marketing and Advertising', 'Information Technology and Services', 'Marketing and Advertising', 'Information Technology and Services']",https://www.g2.com/products/portfolio-manage/reviews,project-management
Copper Project,,4.5, Element Software,,"['Information Technology and Services', 'Information Technology and Services']",https://www.g2.com/products/copper-project/reviews,project-management
ONE2TEAM,,4.4, ONE2TEAM,,"['Information Technology and Services', 'Information Technology and Services']",https://www.g2.com/products/one2team/reviews,project-management
Project Drive,,4.5, TGMT Systems,,,https://www.g2.com/products/project-drive/reviews,project-management
Nutcache,,4.1, Nutcache,,"['Information Technology and Services', 'Information Technology and Services']",https://www.g2.com/products/nutcache/reviews,project-management
Project Portfolio Office (PPO),,4.6, Project Portfolio Office,,,https://www.g2.com/products/project-portfolio-office-ppo/reviews,project-management
Outplanr,,4.3, Outplanr,,"['Information Technology and Services', 'Information Technology and Services']",https://www.g2.com/products/outplanr/reviews,project-management
Admation,,3.8, Simple.io,,"['Retail', 'Insurance', 'Retail', 'Insurance']",https://www.g2.com/products/admation/reviews,project-management
Function Point,,3.8, Function Point Productivity Software,"['Project Manager', 'Account Manager', 'Project Manager', 'Account Manager']","['Marketing and Advertising', 'Graphic Design', 'Marketing and Advertising', 'Graphic Design']",https://www.g2.com/products/function-point/reviews,project-management
Fruux,,4.2, Fruux,,,https://www.g2.com/products/fruux/reviews,project-management
Intervals,,3.9, Pelago,"['Project Manager', 'Project Manager']","['Marketing and Advertising', 'Information Technology and Services', 'Marketing and Advertising', 'Information Technology and Services']",https://www.g2.com/products/intervals/reviews,project-management
Flowzone,,4.2, Flowzone,,,https://www.g2.com/products/flowzone/reviews,project-management
Nuvro,,4.4, Nuvro,,,https://www.g2.com/products/nuvro/reviews,project-management
Open Science Framework,,4.3, Center for Open Science,,,https://www.g2.com/products/open-science-framework/reviews,project-management
Toggl Plan,,4.2, Toggl,,,https://www.g2.com/products/toggl-plan/reviews,project-management
Trigger,,4.5, NetEngine,,,https://www.g2.com/products/trigger/reviews,project-management
Brightpod,,4.2, Synage,,,https://www.g2.com/products/brightpod/reviews,project-management
UpWave,,4.2, UpWave,,,https://www.g2.com/products/upwave/reviews,project-management
PROAD,,4.3, J+D Software,,,https://www.g2.com/products/proad/reviews,project-management
VISUM,,4.0, Pinnacle Americas,"['Transportation Engineer', 'Transportation Engineer']","['Transportation/Trucking/Railroad', 'Civil Engineering', 'Transportation/Trucking/Railroad', 'Civil Engineering']",https://www.g2.com/products/visum/reviews,project-management
Viewpath,,3.9, Viewpath,,,https://www.g2.com/products/viewpath/reviews,project-management
Shotgun,,4.5, Autodesk,,,https://www.g2.com/products/shotgun/reviews,project-management
Bubble Software,,4.6, Bubble Software,,,https://www.g2.com/products/bubble-software/reviews,project-management
Preview App,,3.4, Fidesio,,,https://www.g2.com/products/preview-app/reviews,project-management
Planiro,,4.3, Droid Labs,,,https://www.g2.com/products/planiro/reviews,project-management
KeyOffice,,4.5, KeyTech,,,https://www.g2.com/products/keyoffice/reviews,project-management
Shopify,,4.4, Shopify,"['Owner', 'CEO', 'Owner', 'CEO']","['Retail', 'Apparel & Fashion', 'Retail', 'Apparel & Fashion']",https://www.g2.com/products/shopify/reviews,e-commerce-platforms
